Date,Client,Region,Month,Year,Quarter,Amount,YearQuarter,PartialYear
7/15/2019,ABC Corporation,South,July,2019,Q3,1741089,2019-Q3,Yes
7/19/2019,Bridges Company,East,July,2019,Q3,514989,2019-Q3,Yes
7/26/2019,Timefall Inc.,East,July,2019,Q3,230071,2019-Q3,Yes
8/11/2019,Chiral Corporation,North,August,2019,Q3,1148912,2019-Q3,Yes
8/15/2019,Titan Industries,West,August,2019,Q3,405991,2019-Q3,Yes
8/22/2019,Eagle Security,South,August,2019,Q3,191708,2019-Q3,Yes
8/24/2019,Sol Company,South,August,2019,Q3,1757908,2019-Q3,Yes
9/15/2019,Eagle Security,East,September,2019,Q3,1209282,2019-Q3,Yes
9/17/2019,Titan Industries,West,September,2019,Q3,1581662,2019-Q3,Yes
10/16/2019,Titan Industries,South,October,2019,Q4,376043,2019-Q4,Yes
10/25/2019,Timefall Inc.,East,October,2019,Q4,1978299,2019-Q4,Yes
11/5/2019,Timefall Inc.,South,November,2019,Q4,914785,2019-Q4,Yes
11/19/2019,Timefall Inc.,East,November,2019,Q4,1711222,2019-Q4,Yes
11/25/2019,Timefall Inc.,South,November,2019,Q4,407874,2019-Q4,Yes
11/27/2019,Timefall Inc.,West,November,2019,Q4,1257231,2019-Q4,Yes
11/29/2019,Timefall Inc.,North,November,2019,Q4,589765,2019-Q4,Yes
12/25/2019,Titan Industries,North,December,2019,Q4,485286,2019-Q4,Yes
12/27/2019,Titan Industries,North,December,2019,Q4,467422,2019-Q4,Yes
12/30/2019,Titan Industries,East,December,2019,Q4,1838220,2019-Q4,Yes
1/1/2020,Titan Industries,East,January,2020,Q1,564927,2020-Q1,No
1/2/2020,Titan Industries,South,January,2020,Q1,239424,2020-Q1,No
1/2/2020,Titan Industries,East,January,2020,Q1,774500,2020-Q1,No
1/2/2020,Titan Industries,South,January,2020,Q1,1096869,2020-Q1,No
1/3/2020,Titan Industries,South,January,2020,Q1,1862557,2020-Q1,No
1/9/2020,Titan Industries,North,January,2020,Q1,1437017,2020-Q1,No
1/9/2020,Titan Industries,South,January,2020,Q1,1848717,2020-Q1,No
1/11/2020,Eagle Security,East,January,2020,Q1,1933018,2020-Q1,No
1/11/2020,Eagle Security,South,January,2020,Q1,1987908,2020-Q1,No
1/12/2020,Eagle Security,West,January,2020,Q1,1750150,2020-Q1,No
1/12/2020,Eagle Security,West,January,2020,Q1,1264058,2020-Q1,No
1/13/2020,Eagle Security,East,January,2020,Q1,391699,2020-Q1,No
1/13/2020,Eagle Security,South,January,2020,Q1,1495289,2020-Q1,No
1/15/2020,Eagle Security,South,January,2020,Q1,1958181,2020-Q1,No
1/16/2020,Eagle Security,North,January,2020,Q1,1766994,2020-Q1,No
1/16/2020,Eagle Security,North,January,2020,Q1,877778,2020-Q1,No
1/16/2020,Eagle Security,North,January,2020,Q1,1366272,2020-Q1,No
1/16/2020,Chiral Corporation,South,January,2020,Q1,1718743,2020-Q1,No
1/17/2020,Chiral Corporation,East,January,2020,Q1,538621,2020-Q1,No
1/23/2020,Chiral Corporation,West,January,2020,Q1,184900,2020-Q1,No
1/24/2020,Chiral Corporation,South,January,2020,Q1,1598219,2020-Q1,No
1/25/2020,Titan Industries,North,January,2020,Q1,1370705,2020-Q1,No
1/26/2020,Eagle Security,North,January,2020,Q1,969025,2020-Q1,No
1/26/2020,Chiral Corporation,South,January,2020,Q1,1988680,2020-Q1,No
1/28/2020,Chiral Corporation,East,January,2020,Q1,1520170,2020-Q1,No
1/29/2020,Titan Industries,South,January,2020,Q1,1683109,2020-Q1,No
2/1/2020,Chiral Corporation,West,February,2020,Q1,756093,2020-Q1,No
2/2/2020,Chiral Corporation,South,February,2020,Q1,1635914,2020-Q1,No
2/3/2020,Chiral Corporation,East,February,2020,Q1,1704629,2020-Q1,No
2/10/2020,Chiral Corporation,South,February,2020,Q1,925137,2020-Q1,No
2/10/2020,Chiral Corporation,West,February,2020,Q1,1246174,2020-Q1,No
2/14/2020,Chiral Corporation,South,February,2020,Q1,576222,2020-Q1,No
2/15/2020,Chiral Corporation,North,February,2020,Q1,953291,2020-Q1,No
2/17/2020,Chiral Corporation,East,February,2020,Q1,1593038,2020-Q1,No
2/19/2020,Chiral Corporation,South,February,2020,Q1,1784478,2020-Q1,No
2/21/2020,Chiral Corporation,South,February,2020,Q1,1493958,2020-Q1,No
2/22/2020,Chiral Corporation,East,February,2020,Q1,1509042,2020-Q1,No
2/25/2020,Chiral Corporation,South,February,2020,Q1,1445703,2020-Q1,No
2/25/2020,Chiral Corporation,East,February,2020,Q1,1219313,2020-Q1,No
2/26/2020,Chiral Corporation,North,February,2020,Q1,1378458,2020-Q1,No
2/26/2020,Chiral Corporation,South,February,2020,Q1,812267,2020-Q1,No
2/27/2020,Eagle Security,East,February,2020,Q1,1473799,2020-Q1,No
2/27/2020,ABC Corporation,North,February,2020,Q1,1085955,2020-Q1,No
3/1/2020,ABC Corporation,West,March,2020,Q1,1822041,2020-Q1,No
3/2/2020,ABC Corporation,East,March,2020,Q1,942170,2020-Q1,No
3/4/2020,ABC Corporation,South,March,2020,Q1,1148983,2020-Q1,No
3/4/2020,ABC Corporation,South,March,2020,Q1,790962,2020-Q1,No
3/4/2020,ABC Corporation,South,March,2020,Q1,1771632,2020-Q1,No
